No,Product_name,Company,Ai
21755,GRANET ANTIGERME,ARYSTA LIFESCIENCE BENELUX Sprl.,CLORPROFAM 1% [DP] P/P
21781,CITROSOL-A-MANZANAS,PRODUCTOS CITROSOL S.A.,GOMA LACA 14% [EW] P/P
21795,DACONIL 50 SC,"SYNGENTA ESPAÑA, S.A.",CLORTALONIL 50% [SC] P/V
21806,FOBECI,"SIPCAM INAGRA, S.A.","BENALAXIL 6% + CIMOXANILO 3,2% + FOLPET 35% [WP] P/P"
21807,LOVIT,BASF ESPAÑOLA S.L.U.,"EPOXICONAZOL 12,5% [SC] P/V"
21809,QUADRIS,"SYNGENTA ESPAÑA, S.A.",AZOXISTROBIN 25% [SC] P/V
21811,ORYTIS,"FMC Agricultural Solutions, S.A.U.","ACRINATRIN 7,5% [EW] P/V"
21820,MYTU 80,"ARYSTA LIFESCIENCE, S.A.S.",Captan 80% [WG] P/P
21821,FOLPEC 50,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,FOLPET 50% [WP] P/P
21825,GARMIL,"SYNGENTA ESPAÑA, S.A.",CLORTALONIL 50% [SC] P/V
21829,CORAL,"COMERCIAL QUÍMICA MASSÓ, S.A.",OXIDO CUPROSO 50% (EXPR. EN CU) [WP] P/P
21842,INSECT 5 G,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,CLORPIRIFOS 5% [GR] P/P
21850,STOCK LS,"ADAMA AGRICULTURE ESPAÑA, S.A.","IMAZALIL 7,5% (SULFATO) [SL] P/V"
21854,APACHE,"INDUSTRIAS AFRASA, S.A.","ABAMECTINA 1,8% [EC] P/V"
21866,MEVAXIL COMBI,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",FOLPET 40% + METALAXIL 10% [WP] P/P
21870,VIMAR M,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",MANCOZEB 64% + METALAXIL 8% [WP] P/P
21874,HIDRÓXIDO 50WP VALLÉS,"IQV AGRO ESPAÑA, S.L.",HIDROXIDO CUPRICO 50% (EXPR. EN CU) [WP] P/P
21879,PRIMMA MIX 60,"NUFARM ESPAÑA, S.A.",MCPA 50% (SAL DIMETILAMINA) [SL] P/V
21909,GULLIVER,"FMC Agricultural Solutions, S.A.U.",AZIMSULFURON 50% [WG] P/P
21914,FOLPLAN FLOW,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,FOLPET 50% [SC] P/V
21935,KANDU,"SYNGENTA ESPAÑA, S.A.","OCTIL/DECIL GLUCONIDO 40,8% + AMINA POLIOXIETILADA 3% [SL] P/V"
21940,MIRAGE,"ADAMA AGRICULTURE ESPAÑA, S.A.",PROCLORAZ 45% [EC] P/V
21943,GALIGAN 24 LE,"NUFARM ESPAÑA, S.A.",OXIFLUORFEN 24% [EC] P/V
21946,ANTAK-68.5,"PAMENA, S.L.",ALCOHOL GRASO (1-DECANOL) 68.5% [EC] P/V
21962,SPONSOR COMBI,IQV ITALIA S.R.L.,FOLPET 40% + METALAXIL 10% [WP] P/P
21979,METIX,"ALINTRA, S.A.",FOLPET 40% + METALAXIL 10% [WP] P/P
21980,MAXIL,"ALINTRA, S.A.",MANCOZEB 64% + METALAXIL 8% [WP] P/P
21990,TERAFIT,ISK BIOSCIENCES EUROPE N.V.,FLAZASULFURON 25% [WG] P/P
22000,ORTIVA,"SYNGENTA ESPAÑA, S.A.",AZOXISTROBIN 25% [SC] P/V
22002,KDOS,SPIESS-URANIA CHEMICALS GMBH,HIDROXIDO CUPRICO 35% (EXPR. EN CU) [WG] P/P
22004,NEMATHORIN 10 G,ISK BIOSCIENCES EUROPE N.V.,FOSTIAZATO 10% [GR] P/P
22008,DIVIDEND FORMULA M,"SYNGENTA ESPAÑA, S.A.",DIFENOCONAZOL 3% [FS] P/V
22027,DASH HC,BASF ESPAÑOLA S.L.U.,"METIL OLEATO/METIL PALMITATO 34,8% [EC] P/V"
22029,RIDOMIL GOLD MZ,"SYNGENTA ESPAÑA, S.A.","MANCOZEB 64% + METALAXIL-M 3,9% [WP] P/P"
22044,TOPSIN 70 WG,"BAYER CROPSCIENCE, S.L.",METIL TIOFANATO 70% [WG] P/P
22051,PREMIS,BASF ESPAÑOLA S.L.U.,"TRITICONAZOL 2,5% [FS] P/V"
22056,BASAGRAN SG,BASF ESPAÑOLA S.L.U.,BENTAZONA 87% [SG] P/P
22059,AZUPEC MICRO,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,AZUFRE 80% [WP] P/P
22060,COSTAR,MITSUI AGRISCIENCE INTERNATIONAL S.A./N.V.,"BACILLUS THURINGIENSIS KURSTAKI (CEPA SA-12) 18% ((8,5 X 10^12 UFC/KG)) [WG] P/P"
22061,TORNADO,"ADAMA AGRICULTURE ESPAÑA, S.A.",METAMITRONA 70% [SC] P/V
22064,LAGON,"BAYER CROPSCIENCE, S.L.","ACLONIFEN 50% + ISOXAFLUTOL 7,5% [SC] P/V"
22065,ECLIPSE 70 WG,"ADAMA AGRICULTURE ESPAÑA, S.A.",METRIBUZINA 70% [WG] P/P
22069,DROXICUPER-50,"TRADE CORPORATION INTERNATIONAL, S.A.U.",HIDROXIDO CUPRICO 50% (EXPR. EN CU) [WP] P/P
22083,AURUSOL,"FMC Agricultural Solutions, S.A.U.",CLORPIRIFOS 5% [GR] P/P
22097,FERSEX CHS DIFUSORES,"SOCIEDAD ESPAÑOLA DE DESARROLLOS QUIMICOS, S.L.","Z-11-HEXADECENAL 7,48% + Z-9-HEXADECENAL 0,78% + Z-13-OCTADECENAL 0,92% [VP] P/P"
22098,TRAGO 60,"DOW AGROSCIENCES IBERICA, S.A.","2,4-D ACIDO 60% (2-ETIL-HEXIL ESTER) [EC] P/V"
22102,CARTEC,SBM DÉVELOPPEMENT S.A.S. (Marseille),CIPERMETRIN 10% [EC] P/V
22112,DRIBBLING 24 EC,"NUFARM ESPAÑA, S.A.",OXIFLUORFEN 24% [EC] P/V
22118,TELXIOPE 100,ARYSTA LIFESCIENCE BENELUX Sprl.,CIPERMETRIN 10% [EC] P/V
22125,AURA,BASF ESPAÑOLA S.L.U.,PROFOXIDIM 20% [EC] P/V
22126,DUAL GOLD,"SYNGENTA ESPAÑA, S.A.",S-METOLACLORO 96% [EC] P/V
22130,TELDOR,"BAYER CROPSCIENCE, S.L.",FENHEXAMIDA 50% [WG] P/P
22145,NIKOS,"DOW AGROSCIENCES IBERICA, S.A.",FLORASULAM 5% [SC] P/V
22147,SUPER STOP BROT 60,"PAMENA, S.L.",HIDRAZIDA MALEICA 60% (SAL POTÁSICA) [SP] P/P
22151,RIDOMIL GOLD SL,"SYNGENTA ESPAÑA, S.A.","METALAXIL-M 46,5% [SL] P/V"
22166,ADINA,SIPCAM OXON S.p.A.,AZADIRACTIN 1% (COMO AZADIRACTIN A) [EC] P/V
22174,COBRE KEY DOBLE,"INDUSTRIAL QUIMICA KEY, S.A.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
22177,METAMAN FAE PM,"FORMULADORES AGROQUIMICOS EXTREMEÑOS, S.L.",MANCOZEB 64% + METALAXIL 8% [WP] P/P
22187,POLY-10,ARYSTA LIFESCIENCE BENELUX Sprl.,CIPERMETRIN 10% [EC] P/V
22192,HERBICRUZ MCPA 40,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
22193,RIDOMIL GOLD GRANULADO,"SYNGENTA ESPAÑA, S.A.","METALAXIL-M 2,4% [GR] P/P"
22194,APRON XL,"SYNGENTA ESPAÑA, S.A.","METALAXIL-M 33,9% [ES] P/V"
22198,EQUATION PRO,"DU PONT IBERICA, S.L.","CIMOXANILO 30% + FAMOXADONA 22,5% [WG] P/P"
22199,PRIMEXTRA LIQUIDO GOLD,"SYNGENTA ESPAÑA, S.A.","TERBUTILAZINA 18,75% + S-METOLACLORO 31,25% [SE] P/V"
22209,DRYCOP 50 DF,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WG] P/P
22212,COSAVET DF,SULPHUR MILLS LTD.,AZUFRE 80% [WG] P/P
22218,LASER,"INDUSTRIAS AFRASA, S.A.",OXIFLUORFEN 24% [EC] P/V
22221,BETANAL NEOTEC,"BAYER CROPSCIENCE, S.L.",FENMEDIFAM 16% [SE] P/V
22225,CENTURION PLUS,"ARYSTA LIFESCIENCE, S.A.S.",Cletodim 12% [EC] P/V
22237,AFITHION,"FMC Agricultural Solutions, S.A.U.",Dimetoato 40% [EC] P/V
22238,NOVAGIB,FINE AGROCHEMICALS LTD.,GIBERELINAS A4/A7 1% [SL] P/V
22242,GRO-STOP,CERTIS EUROPE B.V. Sucursal en España,CLORPROFAM 1% [DP] P/P
22244,EMBLEM,"NUFARM ESPAÑA, S.A.",BROMOXINIL 20% (OCTANOATO) [WP] P/P
22245,GRO-STOP BASIS,CERTIS EUROPE B.V. Sucursal en España,CLORPROFAM 30% [EC] P/V
22261,ACTIVADOR LEADER PLUS,"MONSANTO AGRICULTURA ESPAÑA, S.L.U.","ALQUIL AMINAS GRASAS ETOXILADAS 73,5% [SL] P/V"
22263,HERBICRUZ LINO 600,"NUFARM ESPAÑA, S.A.",MCPA 50% (SAL DIMETILAMINA) [SL] P/V
22270,BIOCEBO,"BIOIBERICA, S.A.U.",PROTEINAS HIDROLIZADAS 30% [SL] P/V
22276,PLEDGE,"KENOGARD, S.A.",FLUMIOXAZINA 50% [WP] P/P
22283,DRIWER,"EXCLUSIVAS SARABIA, S.A.",BROMOXINIL 12% (ESTER OCTANÓICO) + MECOPROP-P 18% (2-ETIL-HEXIL ESTER) [EC] P/V
22287,CUPER 50,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
22310,FRUPICA,"SIPCAM INAGRA, S.A.",MEPANIPIRIM 50% [WP] P/P
22312,GLYFOS PROGRESS,"FMC Agricultural Solutions, S.A.U.",GLIFOSATO 36% (SAL ISOPROPILAMINA) [SL] P/V
22319,AGROIL,SIPCAM IBERIA S.L.,ACEITE DE PARAFINA 83% [EC] P/V
22326,HYDROCOP 50 WP,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",HIDROXIDO CUPRICO 50% (EXPR. EN CU) [WP] P/P
22338,FLINT,"BAYER CROPSCIENCE, S.L.",TRIFLOXISTROBIN 50% [WG] P/P
22353,SAMSON,ISK BIOSCIENCES EUROPE N.V.,NICOSULFURON 4% [SC] P/V
22361,CELEST XL,"SYNGENTA ESPAÑA, S.A.","FLUDIOXONIL 2,5% + METALAXIL-M 1% [FS] P/V"
22393,MANCOPEC,"TRADE CORPORATION INTERNATIONAL, S.A.U.",MANCOZEB 80% [WP] P/P
22398,KARATE ZEON,"SYNGENTA ESPAÑA, S.A.",LAMBDA CIHALOTRIN 10% [CS] P/V
22402,COVICAMPO 50 SC,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
22405,CARMORT,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
22416,FARO,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",MANCOZEB 64% + METALAXIL 8% [WP] P/P
22421,FOSBEL-PLUS,PROBELTE S.A.U.,FOSETIL-AL 35% + MANCOZEB 35% [WP] P/P
22422,FOSBEL EXTRA,PROBELTE S.A.U.,CIMOXANILO 4% + FOLPET 25% + FOSETIL-AL 50% [WP] P/P
22423,BELTHIRUL,PROBELTE S.A.U.,BACILLUS THURINGIENSIS KURSTAKI (CEPA PB-54) 32% (32 MILL. DE U.I./G) [WP] P/P
22430,RODER,"ADAMA AGRICULTURE ESPAÑA, S.A.",METAMITRONA 70% [WG] P/P
22448,MICENE TRIPLE,"SIPCAM INAGRA, S.A.","BENALAXIL 6% + CIMOXANILO 3,2% + MANCOZEB 40% [WP] P/P"
22468,METAXICOL,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",METALAXIL 8% + OXICLORURO DE COBRE 40% (EXPR. EN CU) [WP] P/P
22478,GOLTIX 700 SC,"ADAMA AGRICULTURE ESPAÑA, S.A.",METAMITRONA 70% [SC] P/V
22487,DUETT M,"UPL IBERIA, S.A.","MANCOZEB 46,5% + CIMOXANILO 4% [WP] P/P"
22501,NERVURE SUPER,"KENOGARD, S.A.",QUIZALOFOP-P-ETIL 10% [EC] P/V
22508,MANIZEB,MANICA COBRE S.L.,MANCOZEB 80% [WP] P/P
22513,AGRITONE L,"NUFARM ESPAÑA, S.A.","ANA 0,675% + ANA AMIDA 1,8% [SL] P/V"
22526,MELODY COMBI WG,"BAYER CROPSCIENCE, S.L.","FOLPET 56,3% + IPROVALICARB 9% [WG] P/P"
22529,MITO 70 GM,"UPL IBERIA, S.A.",METAMITRONA 70% [WG] P/P
22531,CLIOPHAR 425 SL,ARYSTA LIFESCIENCE BENELUX Sprl.,"CLOPIRALIDA 42,5% (SAL AMINA) [SL] P/V"
22536,VENTUS,ISAGRO S.P.A.,"CLORTALONIL 25% + TETRACONAZOL 6,25% [SE] P/V"
22537,SOFREX,"UPL IBERIA, S.A.",AZUFRE 80% [WG] P/P
22540,NEMACUR MICRO,AMVAC NETHERLANDS B.V.,FENAMIFOS 24% [CS] P/V
22541,AGRITONE,"NUFARM ESPAÑA, S.A.","ANA 0,43% + ANA AMIDA 1,18% [WP] P/P"
22542,MAGMA,"INDUSTRIAS AFRASA, S.A.","CIMOXANILO 3% + SULFATO CUPROCALCICO 22,5% (EXPR. EN CU) [WP] P/P"
22547,"VAMECTIN 1,8 EC","SYNGENTA ESPAÑA, S.A.","ABAMECTINA 1,8% [EC] P/V"
22560,COBRE NORDOX 75 WG,"COMERCIAL QUÍMICA MASSÓ, S.A.",OXIDO CUPROSO 75% (EXPR. EN CU) [WG] P/P
22563,SYSTHANE STAR,"DOW AGROSCIENCES IBERICA, S.A.",MICLOBUTANIL 20% [EW] P/V
22580,ORLADOR,"TRADE CORPORATION INTERNATIONAL, S.A.U.",GLIFOSATO 36% (SAL ISOPROPILAMINA) [SL] P/V
22598,BION 50 WG,"SYNGENTA ESPAÑA, S.A.",ACIBENZOLAR-S-METIL 50% [WG] P/P
22599,IKEBANA FUNGICIDA TOTAL,IQV ITALIA S.R.L.,OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
22600,FUNG-CID ORTO ESPUMA,PRODUCTOS CITROSOL S.A.,2-FENILFENOL 13% (EXPR. EN OPP) [SL] P/V
22610,FL 80 FUERTE WG,"LAINCO, S.A.",MANCOZEB 75% [WG] P/P
22622,CAIMAN,"ARYSTA LIFESCIENCE, S.A.S.",MANCOZEB 80% [WP] P/P
22637,CLARO EC,PROPLAN-PLANT PROTECTION CO. S.L.,DICLOFOP 36% (ESTER METÍLICO) [EC] P/V
22646,COMMAND CS,"FMC Agricultural Solutions, S.A.U.",CLOMAZONA 36% [CS] P/V
22648,BOTANIGARD,CERTIS EUROPE B.V.,"BEAUVERIA BASSIANA (CEPA GHA) 10,7% (2,26X10E13 CONIDIAS/L) [OD] P/V"
22649,SPIDERMEC,"SYNGENTA ESPAÑA, S.A.","ABAMECTINA 1,8% [EC] P/V"
22660,FURY 100EW,"FMC Agricultural Solutions, S.A.U.",ZETA-CIPERMETRIN 10% [EW] P/V
22669,LUQMULLANT,"LERIDA UNION QUIMICA, S.A. (LUQSA)",MOJANTE NO IONICO 20% [SL] P/V
22693,STEWARD,"FMC Agricultural Solutions, S.A.U.",INDOXACARB 30% [WG] P/P
22708,CUPER PLUS,"UPL IBERIA, S.A.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
22717,LAINCOBRE M,"LAINCO, S.A.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
22718,CALYPSO,"BAYER CROPSCIENCE, S.L.",TIACLOPRID 48% [SC] P/V
22719,CUMDEN,"BAYER CROPSCIENCE, S.L.",TIACLOPRID 48% [SC] P/V
22720,MCPA DMA 500 SL,"NUFARM ESPAÑA, S.A.",MCPA 50% (SAL DIMETILAMINA) [SL] P/V
22723,FOLTENE PLUS,"SIPCAM INAGRA, S.A.","CIMOXANILO 4% + FOLPET 33,4% [SC] P/V"
22730,KATANGA WP,PROPLAN-PLANT PROTECTION CO. S.L.,FOSETIL-AL 80% [WP] P/P
22735,BETOSIP DUPLO,"BAYER CROPSCIENCE, S.L.",DESMEDIFAM 16% + FENMEDIFAM 16% [EC] P/V
22742,CHAMPION FLOW,"NUFARM ESPAÑA, S.A.",HIDROXIDO CUPRICO 36% (EXPR. EN CU) [SC] P/V
22750,PASTOL AQ,"COMERCIAL QUÍMICA MASSÓ, S.A.",COPOLIMERO ETILENOVINILICO 69% [PA] P/P
22771,GRANO DE ORO,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,"AZUFRE 98,5% [DP] P/P"
22779,TOMAHAWK,"ADAMA AGRICULTURE ESPAÑA, S.A.",FLUROXIPIR 20% (ESTER METILHEPTIL) [EC] P/V
22814,OLEATBIO,"TRATAMIENTOS BIO-ECOLOGICOS, S.A.",SALES POTASICAS DE ACIDOS GRASOS VEGETALES 15% [SL] P/V
22820,VIMAR,IQV ITALIA S.R.L.,METALAXIL 25% [WP] P/P
22826,PROTIBEL,Goal Up Lifesciences GmbH,OXIFLUORFEN 24% [SC] P/V
22828,MAZEBAX 80,"PRODUCTOS A.J.F., S.L.",MANCOZEB 80% [WP] P/P
22832,CIMOSTAR,"DU PONT IBERICA, S.L.",CIMOXANILO 4% + MANCOZEB 40% [WP] P/P
22837,MICENE WP,"SIPCAM INAGRA, S.A.",MANCOZEB 80% [WP] P/P
22839,SPINTOR 480 SC,"DOW AGROSCIENCES IBERICA, S.A.",SPINOSAD 48% [SC] P/V
22843,ZICOLUQ,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
22852,TOKEN 5,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
22854,MAXITAN WP,IQV ITALIA S.R.L.,MANCOZEB 64% + METALAXIL 8% [WP] P/P
22859,MANCOZELM 80 WP,"HELM IBERICA, S.A.",MANCOZEB 80% [WP] P/P
22868,BRIOZIL,"CIA. IBERICA BROGDEX, S. A.","IMAZALIL 7,5% (SULFATO) + 2- FENILFENOL 10% [EC] P/V"
22870,MULLO,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
22875,POMBAL,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,FOSETIL-AL 80% [WP] P/P
22908,CUZEB,"PRODUCTOS A.J.F., S.L.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
22912,"SULTRIN 40-0,5","PRODUCTOS A.J.F., S.L.","AZUFRE 40% + CIPERMETRIN 0,5% [DP] P/P"
22919,PG SUPERMOJANTE,"DOW AGROSCIENCES IBERICA, S.A.","ALQUILFENOL ETOXILADO/PROPOXILADO 102,6% (EQUIV. A 99,6% P/P) [SL] P/V"
22942,AZUFEGA DISPER WG,"PRODUCTOS A.J.F., S.L.",AZUFRE 80% [WG] P/P
22945,EQUATION CONTACT,"DU PONT IBERICA, S.L.","MANCOZEB 62,5% + FAMOXADONA 6,25% [WG] P/P"
22949,CRACK 20 WP,"UPL IBERIA, S.A.",SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WP] P/P
22954,PRESA 16,"INDUSTRIAS AFRASA, S.A.",BACILLUS THURINGIENSIS KURSTAKI 16% (16 MILL. DE U.I./G) [WP] P/P
22958,BELTASUR-PLUS SUPER AZUL,PROBELTE S.A.U.,MANCOZEB 20% + OXICLORURO DE COBRE 30% (EXPR. EN CU) [WP] P/P
22959,ROUNDUP*ENERGY PRO,"MONSANTO AGRICULTURA ESPAÑA, S.L.U.",GLIFOSATO 45% (SAL POTÁSICA) [SL] P/V
22964,MUSTANG,"DOW AGROSCIENCES IBERICA, S.A.","2,4-D ACIDO 30% (ESTER ETILHEXIL) + FLORASULAM 0,62% [SE] P/V"
22977,CIKEYMAN,"SIPCAM INAGRA, S.A.",CIMOXANILO 4% + MANCOZEB 40% [WP] P/P
22981,MARISOL,ROTAM AGROCHEMICAL EUROPE LIMITED,"ABAMECTINA 1,8% [EC] P/V"
22987,ATONIK,ASAHI CHEMICAL EUROPE SRO,"5-NITROGUAYACOLATO SODICO 0,1% + O-NITROFENOLATO SODICO 0,2% + P-NITROFENOLATO SODICO 0,3% [SL] P/V"
22992,LASER PLUS,"INDUSTRIAS AFRASA, S.A.",GLIFOSATO 20% (SAL ISOPROPILAMINA) + OXIFLUORFEN 3% [SC] P/V
22993,CONTANS WG,"BAYER CROPSCIENCE, S.L.","CONIOTHYRIUM MINITANS 5,3% (1 X 10E12 ESPORAS VIABLES/KG) [WG] P/P"
22997,POMBAL MZ,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,FOSETIL-AL 35% + MANCOZEB 35% [WP] P/P
23000,AFROSAN DUPLO,"INDUSTRIAS AFRASA, S.A.",MANCOZEB 20% + OXICLORURO DE COBRE 30% (EXPR. EN CU) [WP] P/P
23008,CUPROTEC BORDELES,"TRADE CORPORATION INTERNATIONAL, S.A.U.",SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WP] P/P
23010,OROFREX,"TRADE CORPORATION INTERNATIONAL, S.A.U.","AZUFRE 98,5% [DP] P/P"
23015,HIDROCUPER-50,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,HIDROXIDO CUPRICO 50% (EXPR. EN CU) [WP] P/P
23018,WINCHE 24 LE,"NUFARM ESPAÑA, S.A.",OXIFLUORFEN 24% [EC] P/V
23028,RIVET 24 EC,"FMC Agricultural Solutions, S.A.U.",CARFENTRAZONA-ETIL 24% [EC] P/V
23034,GALOP SUPER,"BAYER CROPSCIENCE, S.L.",DESMEDIFAM 16% + FENMEDIFAM 16% [EC] P/V
23035,KEMIFAN DOBLE SUPER,"BAYER CROPSCIENCE, S.L.",DESMEDIFAM 16% + FENMEDIFAM 16% [EC] P/V
23036,MUTUAL,BASF ESPAÑOLA S.L.U.,"IMAZAMOX 1,67% + PENDIMETALINA 25% [EC] P/V"
23037,JAPICA,K-I -CHEMICAL EUROPE SA/NV,MEPANIPIRIM 50% [WP] P/P
23038,PULSAR 40,BASF ESPAÑOLA S.L.U.,IMAZAMOX 4% [SL] P/V
23042,DAUPAREX,"NUFARM ESPAÑA, S.A.","ABAMECTINA 1,8% [EC] P/V"
23044,BETANAL AM 22,"BAYER CROPSCIENCE, S.L.",DESMEDIFAM 16% + FENMEDIFAM 16% [EC] P/V
23047,INTEIKE,"TRADE CORPORATION INTERNATIONAL, S.A.U.",OXIFLUORFEN 24% [EC] P/V
23055,ELECTIS,GOWAN CROP PROTECTION LTD.,"MANCOZEB 66,7% + ZOXAMIDA 8,3% [WG] P/P"
23059,HEREU SUPER,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,OXIFLUORFEN 24% [EC] P/V
23072,WISMAR,"UPL IBERIA, S.A.",METAMITRONA 70% [WG] P/P
23079,ARIES,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
23088,ELIOS,IQV ITALIA S.R.L.,MANCOZEB 64% + METALAXIL 8% [WP] P/P
23090,CITRON,SBM DÉVELOPPEMENT S.A.S. (Marseille),CIPERMETRIN 10% [EC] P/V
23106,AQ-10,"AGRICHEM, S.A.",AMPELOMICES QUISQUALIS 58% [WG] P/P
23117,LABIJARDIN LIMACOS,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
23119,GOLTIX UNO,"ADAMA AGRICULTURE ESPAÑA, S.A.",ETOFUMESATO 15% + METAMITRONA 35% [SC] P/V
23137,FRUITFOG-CIPC,FOMESA FRUITECH S.L.,CLORPROFAM 25% [FD] P/P
23138,GOZAI,NICHINO EUROPE LTD,"PIRAFLUFEN-ETIL 2,65% [EC] P/V"
23139,OHAYO,ISK BIOSCIENCES EUROPE N.V.,FLUAZINAM 50% [SC] P/V
23142,BETASANA SC,UPL EUROPE LTD. (UK),FENMEDIFAM 16% [SC] P/V
23148,PEARZE TRIPLE,"BAYER CROPSCIENCE, S.L.",CIMOXANILO 4% + FOLPET 25% + FOSETIL-AL 50% [WG] P/P
23156,OPTICA TRIO,NUFARM UK LIMITED (WYKE-UK),MCPA 16% (SAL AMINA) + MECOPROP-P 13% (SAL AMINA) + DICLORPROP-P 31% (SAL AMINA) [SL] P/V
23158,GALOP NEO,"BAYER CROPSCIENCE, S.L.",FENMEDIFAM 16% [SE] P/V
23179,COBRESTAR,DIACHEM S.P.A.,SULFATO TRIBASICO DE COBRE 19% (EXPR. EN CU) [SC] P/V
23184,AZUFRIL FLOW,"TRADE CORPORATION INTERNATIONAL, S.A.U.",AZUFRE 80% [SC] P/V
23186,VITRA 40 WG,"IQV AGRO ESPAÑA, S.L.",HIDROXIDO CUPRICO 40% (EXPR. EN CU) [WG] P/P
23188,AUDACE,"FMC Agricultural Solutions, S.A.U.","DELTAMETRIN 2,5% [EC] P/V"
23190,CHAMP SC,"NUFARM ESPAÑA, S.A.",HIDROXIDO CUPRICO 36% (EXPR. EN CU) [SC] P/V
23215,SAFOAM PLUS,"CIA. IBERICA BROGDEX, S. A.",DETERGENTE BIODEGRADABLE 7% [SL] P/V
23217,ACCELERATOR PROGRESS,"FMC Agricultural Solutions, S.A.U.",GLIFOSATO 45% (SAL ISOPROPILAMINA) [SL] P/V
23247,LAINZUFRE WG,"UPL IBERIA, S.A.",AZUFRE 80% [WG] P/P
23248,CIMOXATE FP,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,CIMOXANILO 4% + FOLPET 40% [WP] P/P
23253,CAL-EX,"FMC Agricultural Solutions, S.A.U.","ABAMECTINA 1,8% [EC] P/V"
23265,GOAL SUPREME,"DOW AGROSCIENCES IBERICA, S.A.",OXIFLUORFEN 48% [SC] P/V
23266,BETANAL EXPERT,"BAYER CROPSCIENCE, S.L.",DESMEDIFAM 7% + ETOFUMESATO 11% + FENMEDIFAM 9% [EC] P/V
23276,BOTANIGARD 22 WP,CERTIS EUROPE B.V.,"BEAUVERIA BASSIANA (CEPA GHA) 22 % (4,4 x 10E10 CONIDIAS/G [WP] P/P"
23278,SITOFEX,ALZCHEM TROSTBERG GMBH,FORCLORFENURON 1% [EC] P/V
23287,ISOMATE C PLUS,CBC (EUROPE) S.R.L.,"E,E-8,10-DODECADIEN-1-OL 45% (117 mg/difusor) + DODECAN-1-OL 29,6% (61 mg/difusor) + 1-TETRADECANOL 5,7 % (15 mg/difusor) [VP] P/P"
23291,ALIGN,"SIPCAM INAGRA, S.A.","Azadiractin 2,6% (COMO AZADIRACTIN A) [EC] P/V"
23332,KEMIFAM OLEO,"BAYER CROPSCIENCE, S.L.",FENMEDIFAM 16% [SE] P/V
23333,SHARK,SIPCAM IBERIA S.L.,"ETOFENPROX 28,75% [EC] P/V"
23342,PACLOT,PROPLAN-PLANT PROTECTION CO. S.L.,PACLOBUTRAZOL 25% [SC] P/V
23363,CUREZIN 320 AZUL,"IQV AGRO ESPAÑA, S.L.",MANCOZEB 20% + OXICLORURO DE COBRE 30% (EXPR. EN CU) [WP] P/P
23374,ORTOSOL 6500,PRODUCTOS CITROSOL S.A.,"2- FENILFENOL 28,6% (SAL SÓDICA) [SL] P/V"
23376,MOSPILAN,NISSO CHEMICAL EUROPE GMBH,ACETAMIPRID 20% [SP] P/P
